Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
1,1,1936,24,4240,8,0.6875,19.2,84.5,1.27,0
1,2,1937,20,4240,8,0.6875,26.2,74.2,1.81,0
1,3,1937,14,4240,8,0.6875,11.1,68.1,1.04,0
1,4,1937,19,4240,8,0.6875,11.8,66.8,1.09,0
1,5,1937,18,4240,8,0.6875,13.5,79.4,1.06,0
1,6,1938,21,2530,9,0.5,5.8,25.7,1.27,0
1,7,1938,28,4240,8,0.6875,18.3,44.7,2.1,0
1,8,1938,27,4240,8,0.6875,5.62,73.2,0.73,0
1,9,1940,20,4240,8,0.6875,15.8,82.7,1.14,0
1,10,1940,22,4240,8,0.6875,8.7,41.6,1.2,0
1,11,1940,19,4240,8,0.6875,11.6,160,0.72,0
1,12,1940,15,1940,9,0.4375,20.6,71.4,1.52,0
1,13,1940,15,1940,9,0.4375,14.5,88.2,1.04,0
1,14,1940,15,2536,9,0.5,12.1,33.1,1.87,0
1,15,1940,14,2536,9,0.5,15.1,46.4,1.67,0
1,16,1940,15,2536,9,0.5,14,43.6,1.66,0
1,17,1940,14,2536,9,0.5,19.3,51.8,1.91,0
1,18,1940,26,4240,8,0.6875,46.2,110,2.17,0
1,19,1940,14,4240,8,0.6875,30,88.2,1.74,0
1,20,1942,20,4240,8,0.6875,21.1,57.4,1.89,0
1,21,1942,20,4240,8,0.6875,17.3,45.7,1.94,0
1,22,1942,37,4240,8,0.6875,37.5,118,1.64,0
1,23,1942,36,4240,8,0.6875,20.3,77.1,1.41,0
1,24,1942,32,4240,8,0.6875,4.03,42.5,0.8,0
1,25,1941,28,2544,8,0.53125,8.38,84.7,0.81,0
1,26,1943,23,3975,8,0.59375,1.79,13.5,0.93,0
1,27,1942,30,4400,10,0.625,11.7,45.1,1.39,0
1,28,1942,31,6920,8,0.875,4.15,15.8,1.41,0
1,29,1943,30,990,9,0.3125,7.23,41,1.09,0
1,30,1943,30,1509,7,0.4375,22.9,110,1.2,0
1,31,1943,30,932,7,0.34375,9.54,31.6,1.57,0
1,32,1944,26,3180,8,0.59375,6.28,23,1.45,0
1,33,1944,29,3180,8,0.59375,4.81,21.2,1.27,0
1,34,1944,33,8640,10,0.875,4.17,12.8,1.68,0
1,35,1944,26,14080,8,1.25,5.42,31.6,1.07,0
1,36,1951,28,1940,9,0.4375,7.47,49.5,1,0
1,37,1951,34,2330,9,0.4375,4.8,21.3,1.26,0
1,38,1951,27,1550,9,0.4375,14.8,78.4,1.13,0
1,39,1951,29,1165,9,0.4375,84.9,460,1.11,0
1,40,1951,27,2910,9,0.4375,3.4,16.5,1.19,0
1,41,1951,27,3880,9,0.4375,1.24,3.23,1.97,0
1,42,1951,26,776,9,0.4375,241,951,1.37,0
1,43,1951,30,19750,8,1.75,3.01,12.6,1.31,0
1,44,9999,30,2112,8,0.6875,89.1,486,1.11,0
1,45,9999,30,4224,8,0.6875,15.2,104,0.98,0
1,46,9999,30,8448,8,0.6875,2.04,10.2,1.17,0
1,47,9999,30,2112,8,0.625,51,376,0.94,0
1,48,9999,30,4224,8,0.625,5.26,58.8,0.78,0
1,49,9999,30,8448,8,0.625,0.883,4.94,1.09,0
1,50,1944,30,4224,8,0.6875,14.8,57.4,1.39,0
2,1,1940,19,570,10,0.1875,6.68,13.4,2.72,1
2,2,1944,20,570,9,0.3125,29.8,70,2.22,1
2,3,1946,23,580,9,0.25,16.3,55.1,1.55,1
2,4,1946,23,580,9,0.25,28.5,69.2,2.13,1
2,5,1947,23,580,9,0.25,16.4,49.3,1.71,1
2,6,1943,10,665,9,0.25,10.3,40.1,1.5,1
2,7,1944,10,665,9,0.25,25.7,46.4,3.19,1
2,8,1942,19,580,10,0.25,9.55,39.6,1.32,1
2,9,1946,33,620,10,0.25,17.9,62.1,1.51,1
2,10,1947,15,620,10,0.25,19.9,73.2,1.45,1
2,11,1947,31,620,10,0.25,12.9,50.4,1.39,1
2,12,1944,19,625,10,0.25,19.3,46.2,2.18,1
2,13,1941,17,720,10,0.25,11.1,23.3,2.54,1
2,14,1946,60,980,11,0.28125,15.7,43.5,1.85,1
2,15,1947,32,980,11,0.28125,11.2,38.1,1.54,1
2,16,1950,49,600,11,0.3125,417,809,2.85,1
2,17,1949,60,600,11,0.3125,216,709,1.58,1
2,18,1943,20,900,11,0.3125,35.6,100,1.82,1
2,19,1946,67,1220,11,0.3125,12,42.2,1.5,1
2,20,1947,34,1220,11,0.3125,8.53,46.6,1.11,1
2,21,1940,20,1370,11,0.3125,6.77,18.9,1.85,1
2,22,1950,60,1415,11,0.3125,13.5,46.5,1.53,1
2,23,1950,60,2243,11,0.3125,2.32,8.06,1.51,1
2,24,1942,20,720,12,0.3125,36.7,141,1.4,1
2,25,1946,55,1300,12,0.3125,19,57.2,1.71,1
2,26,1947,30,1300,12,0.3125,19.5,60.6,1.67,1
2,27,1944,20,1650,14,0.34375,17,74.4,1.37,1
2,28,1946,59,1760,14,0.34375,20.9,53.7,2,1
2,29,1947,34,1760,14,0.34375,9.56,40.7,1.3,1
2,30,1940,20,2010,13,0.40625,5.49,33.3,1.05,1
2,31,1940,9,2010,13,0.40625,1.39,44,0.54,1
2,32,1944,19,2140,13,0.40625,9.8,82.7,0.88,1
2,33,1943,11,2630,15,0.40625,5.19,54.9,0.8,1
2,34,1942,12,5900,14,0.59375,6.36,17.5,1.86,1
2,35,1947,19,5900,14,0.59375,3.68,22.1,1.05,1
2,36,1947,20,8070,14,0.71875,8.34,23.6,1.81,1
2,37,1942,12,8075,14,0.71875,6.78,36.4,1.12,1
2,38,1938,10,565,9,0.21,9.27,18.4,2.75,2
2,39,1940,23,720,8,0.28125,18.2,56.9,1.66,2
2,40,1940,24,720,8,0.28125,22.8,56.2,2.09,2
2,41,1940,25,720,8,0.28125,3.99,15.6,1.38,2
2,42,1940,21,720,8,0.28125,9.07,29.4,1.6,2
2,43,1940,25,720,8,0.28125,7.14,28.5,1.36,2
2,44,1940,25,720,8,0.28125,12.5,26.4,2.51,2
2,45,1941,25,720,8,0.28125,18.8,48.7,1.98,2
2,46,1941,23,720,8,0.28125,21.5,53.2,2.08,2
2,47,1947,33,860,8,0.3125,17.1,59,1.52,2
2,48,1948,8,860,8,0.3125,15.2,87.6,1.08,2
2,49,1943,20,900,9,0.3125,30.1,92.3,1.68,2
2,50,1944,18,900,9,0.3125,15,47.6,1.63,2
2,51,1945,27,940,9,0.3125,17.5,52.8,1.71,2
2,52,1947,34,940,9,0.3125,14.4,65.6,1.24,2
2,53,1938,10,1180,9,0.3125,8.76,22.1,2.04,2
2,54,1945,30,1580,9,0.375,12.1,43.3,1.47,2
2,55,1947,33,1580,9,0.375,17.2,64.6,1.42,2
2,56,1948,8,1580,9,0.375,10.7,34.6,1.61,2
2,57,1945,31,2160,9,0.4375,10.9,37.6,1.52,2
2,58,1947,30,2160,9,0.4375,12.7,53.7,1.3,2
2,59,1938,9,2200,9,0.4375,3.73,43.5,0.77,2
2,60,1947,30,2480,9,0.4375,16.6,78.3,1.21,2
2,61,1950,40,1340,9,0.46875,180,275,4.44,2
2,62,1937,19,1660,10,0.4375,85.2,234,1.86,2
2,63,1941,19,1700,9,0.46875,57.1,230,1.35,2
2,64,1939,24,2480,9,0.46875,15.7,55.8,1.48,2
2,65,1939,25,2480,9,0.46875,27.1,97.8,1.47,2
2,66,1939,23,2480,9,0.46875,21.7,122,1.09,2
2,67,1939,28,2480,9,0.46875,13.2,42.3,1.62,2
2,68,1939,28,2480,9,0.46875,35.8,145,1.35,2
2,69,1939,20,2480,9,0.46875,12.7,34.7,1.87,2
2,70,1944,20,2480,9,0.46875,10.1,27.8,1.87,2
2,71,1945,20,2480,9,0.46875,8.83,34.3,1.39,2
2,72,1938,10,2480,9,0.46875,16.5,60.3,1.45,2
2,73,1942,11,2480,9,0.46875,17.9,65.8,1.45,2
2,74,1943,10,2480,9,0.46875,15.7,63.1,1.35,2
2,75,1943,20,2480,9,0.46875,10.8,42.1,1.38,2
2,76,1944,18,2480,9,0.46875,14.2,39.9,1.83,2
2,77,1944,18,2480,9,0.46875,19,67.8,1.48,2
2,78,1944,18,2480,9,0.46875,16.3,57.7,1.49,2
2,79,1944,20,2480,9,0.46875,2.93,18,1.04,2
2,80,1944,20,2480,9,0.46875,5.69,25.4,1.26,2
2,81,1944,28,2480,9,0.46875,9.54,39.9,1.32,2
2,82,1944,22,2480,9,0.46875,12.6,55.7,1.27,2
2,83,1944,23,2480,9,0.46875,5.1,37.5,0.94,2
2,84,1944,18,2480,9,0.46875,16,53.7,1.56,2
2,85,1944,20,2480,9,0.46875,1.98,22.1,0.78,2
2,86,1945,20,2480,9,0.46875,5.65,28.8,1.16,2
2,87,1945,20,2480,9,0.46875,12.8,43.6,1.58,2
2,88,1945,20,2480,9,0.46875,9.84,32.3,1.59,2
2,89,1945,20,2480,9,0.46875,12.1,43,1.48,2
2,90,1945,20,2480,9,0.46875,5.48,40.8,0.94,2
2,91,1945,20,2480,9,0.46875,6.64,25.3,1.41,2
2,92,1945,32,2480,9,0.46875,13.9,41.9,1.7,2
2,93,1946,35,2480,9,0.46875,9.02,45.4,1.17,2
2,94,1946,34,2480,9,0.46875,11,49.2,1.26,2
2,95,1947,31,2480,9,0.46875,14.5,73.6,1.16,2
2,96,1944,9,2480,9,0.46875,5.91,37.2,1.02,2
2,97,1944,10,2480,9,0.46875,18.1,40.5,2.33,2
2,98,1945,10,2480,9,0.46875,17.1,53.3,1.65,2
2,99,1945,10,2480,9,0.46875,32.6,61.8,2.95,2
2,100,1945,10,2480,9,0.46875,24.1,66.2,1.87,2
2,101,1945,20,2480,9,0.46875,36.1,71.6,2.75,2
2,102,1946,20,2480,9,0.46875,63.3,104,3.82,2
2,103,1946,12,2480,9,0.46875,14.4,59,1.33,2
2,104,1946,11,2480,9,0.46875,15.1,92.9,1.04,2
2,105,1945,10,2480,9,0.46875,18.8,39.4,2.55,2
2,106,1950,12,2480,9,0.46875,5.63,34.7,1.04,2
2,107,1950,12,2480,9,0.46875,7.23,34.5,1.21,2
2,108,1951,30,2480,9,0.46875,16.7,71.8,1.29,2
2,109,1951,63,2480,9,0.46875,26.5,90.3,1.54,2
2,110,1950,23,2480,9,0.46875,8.35,49.1,1.06,2
2,111,1943,19,3250,9,0.46875,3.79,9.3,2.1,2
2,112,1937,10,3470,10,0.4375,9.05,36.6,1.35,2
2,113,1944,20,4000,9,0.46875,2.98,7.35,2.08,2
2,114,1943,19,2300,10,0.46875,22.5,73.4,1.59,2
2,115,1938,10,2730,10,0.46875,3.82,31.7,0.89,2
2,116,1946,22,2660,10,0.53125,6.55,20.8,1.63,2
2,117,1944,20,2250,11,0.46875,17.5,64.3,1.45,2
2,118,1943,16,2300,11,0.46875,61.7,152,2.1,2
2,119,1945,48,2840,11,0.46875,18.6,42.7,2.27,2
2,120,1947,28,2840,11,0.46875,21.6,66.3,1.68,2
2,121,1947,8,2840,11,0.46875,11.9,39.1,1.59,2
2,122,1948,8,2840,11,0.46875,13.9,50.6,1.46,2
2,123,1943,19,3200,11,0.46875,7.8,33.1,1.3,2
2,124,1944,28,4000,11,0.46875,3.55,13.9,1.38,2
2,125,1943,19,4000,11,0.46875,9.4,23.4,2.06,2
2,126,1947,23,6350,11,0.6875,4.76,22.7,1.21,2
2,127,1944,20,12000,11,1.0625,3.23,9.86,1.69,2
2,128,1944,20,12000,11,1.0625,2.62,9.52,1.46,2
2,129,1944,9,12700,8,1.5,7.89,39.7,1.17,2
2,130,1949,18,16500,11,1.0625,4.93,20.4,1.33,2
2,131,1950,20,16500,11,1.0625,6.26,16.2,1.98,2
2,132,1938,8,565,7,0.3125,37.3,103,1.85,3
2,133,1944,20,900,7,0.3125,14,38.6,1.86,3
2,134,1938,10,1650,8,0.40625,30.3,87.6,1.77,3
2,135,1944,20,2250,8,0.46875,25.7,71.2,1.85,3
2,136,1943,20,2300,8,0.46875,10.5,60.4,1.07,3
2,137,1944,19,3200,8,0.46875,10.3,24.1,2.21,3
2,138,1944,19,4000,8,0.46875,4.56,12.9,1.81,3
2,139,1937,10,1710,8,0.53125,25.1,274,0.79,3
2,140,1938,9,2360,8,0.53125,48.8,264,1.12,3
2,141,1937,10,2680,8,0.53125,7.53,60.7,0.9,3
2,142,1937,11,3850,8,0.53125,14.9,62.6,1.32,3
2,143,1947,21,7760,8,0.90625,4.57,43.4,0.84,3
2,144,1943,12,9550,8,1.0625,3.9,40.7,0.8,3
2,145,1947,21,9750,8,1.0625,15.5,79.4,1.16,3
2,146,1948,16,11400,8,1.1875,10.2,43.9,1.29,3
2,147,1948,20,11400,8,1.1875,4.71,16.9,1.48,3
2,148,1947,18,11420,8,1.1875,10.1,34.2,1.55,3
3,1,1942,94,1580,7,0.5625,16.9,64.8,1.4,0
3,2,1949,29,790,7,0.5625,211,729,1.52,0
3,3,1949,35,1185,7,0.5625,74.4,287,1.4,0
3,4,1940,29,1600,9,0.5,9.62,40.1,1.32,0
3,5,1945,10,1600,8,0.46875,11.9,66.3,1.1,0
3,6,1943,9,2275,7,0.53125,13.8,58,1.31,0
3,7,1946,13,2540,8,0.46875,2.38,11.3,1.21,0
3,8,1946,12,2540,8,0.46875,2.38,11.5,1.19,0
3,9,1949,12,1580,7,0.5625,8.75,62.2,0.96,0
3,10,1949,12,1580,7,0.5625,25.7,113,1.27,0
3,11,1947,24,1600,9,0.5,14.5,113,0.92,0
3,12,1949,12,610,8,0.3125,26.8,65.6,2.1,0
